timesteps,return
1.431300000000000000e+04,6.400000000000000000e+01
1.454000000000000000e+04,2.270000000000000000e+02
1.479800000000000000e+04,2.580000000000000000e+02
1.500700000000000000e+04,2.090000000000000000e+02
1.525300000000000000e+04,2.460000000000000000e+02
1.550900000000000000e+04,2.560000000000000000e+02
1.582200000000000000e+04,3.130000000000000000e+02
1.607300000000000000e+04,2.510000000000000000e+02
1.631300000000000000e+04,2.400000000000000000e+02
1.650900000000000000e+04,1.960000000000000000e+02
1.670800000000000000e+04,1.990000000000000000e+02
1.701500000000000000e+04,3.070000000000000000e+02
1.719400000000000000e+04,1.790000000000000000e+02
1.739400000000000000e+04,2.000000000000000000e+02
1.789400000000000000e+04,5.000000000000000000e+02
1.825500000000000000e+04,3.610000000000000000e+02
1.851500000000000000e+04,2.600000000000000000e+02
1.873300000000000000e+04,2.180000000000000000e+02
1.901000000000000000e+04,2.770000000000000000e+02
1.935400000000000000e+04,3.440000000000000000e+02
1.959000000000000000e+04,2.360000000000000000e+02
1.984900000000000000e+04,2.590000000000000000e+02
2.010600000000000000e+04,2.570000000000000000e+02
2.035000000000000000e+04,2.440000000000000000e+02
2.056100000000000000e+04,2.110000000000000000e+02
2.075800000000000000e+04,1.970000000000000000e+02
2.091500000000000000e+04,1.570000000000000000e+02
2.121800000000000000e+04,3.030000000000000000e+02
2.141900000000000000e+04,2.010000000000000000e+02
2.166500000000000000e+04,2.460000000000000000e+02
2.181000000000000000e+04,1.450000000000000000e+02
2.203200000000000000e+04,2.220000000000000000e+02
2.217400000000000000e+04,1.420000000000000000e+02
2.233700000000000000e+04,1.630000000000000000e+02
2.255900000000000000e+04,2.220000000000000000e+02
2.281900000000000000e+04,2.600000000000000000e+02
2.294900000000000000e+04,1.300000000000000000e+02
2.315500000000000000e+04,2.060000000000000000e+02
2.332600000000000000e+04,1.710000000000000000e+02
2.359400000000000000e+04,2.680000000000000000e+02
2.391100000000000000e+04,3.170000000000000000e+02
2.404400000000000000e+04,1.330000000000000000e+02
2.414700000000000000e+04,1.030000000000000000e+02
2.429600000000000000e+04,1.490000000000000000e+02
2.445400000000000000e+04,1.580000000000000000e+02
2.460200000000000000e+04,1.480000000000000000e+02
2.471600000000000000e+04,1.140000000000000000e+02
2.484600000000000000e+04,1.300000000000000000e+02
